Item - Name,Item - Options,Item - Qty,Item - Weight,Notes - From Buyer
"BLACK SHEEP","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"Total Discount",,"1","0.0",""
"ROY G BIV COLD BREW FILTER PACKS - 2 Pack","Size: 2 Pack","1","18.0",""
"3 VOLCANOES DARK GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","2","16.0",""
"DECAF CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #8 - Aeropress or Keurig","1","16.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #14 - Cone Filter or v60","9","16.0",""
"Total Discount",,"1","0.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #8 - Aeropress or Keurig","1","16.0",""
"CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","80.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"LAKE EFFECT DARK COLOMBIA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","3","16.0",""
"SNOWMAGEDDON","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"LIQUID TOFFEE COLOMBIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","2","16.0",""
"LAKE EFFECT DARK COLOMBIA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"DECAF CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"LIQUID TOFFEE COLOMBIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","80.0",""
"Total Discount",,"1","0.0",""
"VOYAGER","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"Total Discount",,"1","0.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"LIQUID TOFFEE COLOMBIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"Total Discount",,"1","0.0",""
"DECAF CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","3","16.0",""
"GREEN BIKE","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"GREEN BIKE","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"GREEN DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Light","Grind Type: #0 - Whole Bean","1","32.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"BLACK SHEEP","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"VOYAGER","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Medium & Dark","Grind Type: #0 - Whole Bean","1","32.0",""
"GREEN DRAGON COSTA RICA","Size: 48g Tasting Sample, Grind Type: #0 - Whole Bean","1","1.1",""
"LIQUID TOFFEE COLOMBIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"3 VOLCANOES DARK GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"GREEN DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"LIQUID TOFFEE COLOMBIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
