Item - Name,Item - Options,Item - Qty,Item - Weight,Notes - From Buyer
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0","Happy Birthday Jesse! Thank you for always being a friend and continually embracing others in our weirdness. You a real one. I hope you feel loved and cherished because you are! -Jill"
"BONESHAKER NAVY TEE - Unisex Medium","Sizing: Unisex Medium","1","5.0","Happy Birthday Jesse! Thank you for always being a friend and continually embracing others in our weirdness. You a real one. I hope you feel loved and cherished because you are! -Jill"
"BLACK SHEEP PINT GLASS",,"2","14.0","Happy Birthday Jesse! Thank you for always being a friend and continually embracing others in our weirdness. You a real one. I hope you feel loved and cherished because you are! -Jill"
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #14 - Cone Filter or v60","2","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"SL28 NATURAL COSTA RICA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"BLACK SHEEP","Size: Five Pound - $15 Per Pound, Grind Type: #14 - Cone Filter or v60","1","80.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Medium & Dark","Grind Type: #0 - Whole Bean","1","32.0","Happy Birthday Guy!
Love Storrey. Garreth and Lachlan"
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"SMALL TASTING SAMPLE BOX - SET OF 3","Roast Type: Dark Roast, Grind Type: #0 - Whole Bean","1","16.0",""
"ROY G BIV COLD BREW FILTER PACKS - 2 Pack","Size: 2 Pack","1","18.0",""
"GREEN BIKE","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"RING OF FIRE GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"Total Discount",,"1","0.0",""
"VOYAGER","Size: One Pound - $18 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","80.0",""
"3 VOLCANOES DARK GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"DECAF CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"BONESHAKER COLOMBIA","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Medium & Dark","Grind Type: #0 - Whole Bean","1","32.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #17 - Flat Filter or Cold Brew","1","16.0",""
"JET BLACK COLD BREW FILTER PACKS - 2 Pack","Size: 2 Pack","1","18.0",""
"VOYAGER","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"Total Discount",,"1","0.0",""
"DECAF CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"BLACK SHEEP","Size: One Pound - $18 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","16.0",""
"BLOCK PARTY","Size: One Pound - $18 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #17 - Flat Filter or Cold Brew","1","16.0",""
