Item - Name,Item - Options,Item - Qty,Item - Weight,Notes - From Buyer
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"DOUBLE DRAGON BUNDLE","1LB BAG OF GREEN DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #14 - Cone Filter or v60, Qty - 1, 1LB BAG OF DARK DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #14 - Cone Filter or v60, Qty - 1","1","32.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION","Roast Level: Medium & Dark, Grind Type: #0 - Whole Bean","1","32.0",""
"DOUBLE DRAGON BUNDLE","1LB BAG OF GREEN DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1, 1LB BAG OF DARK DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1","1","32.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"BONESHAKER COLOMBIA","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"GREEN DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","2","16.0",""
"TART POM ETHIOPIA","Size: One Pound - $22 Per Pound, Grind Type: #14 - Cone Filter or v60","3","16.0",""
"SL28 NATURAL COSTA RICA","Size: One Pound - $22 Per Pound, Grind Type: #14 - Cone Filter or v60","2","16.0",""
"RING OF FIRE GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"DECAF CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","3","16.0",""
"SL28 NATURAL COSTA RICA","Size: Five Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"TART POM ETHIOPIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"BONESHAKER COLOMBIA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"SL28 NATURAL COSTA RICA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"RESERVE: SONORA NATURAL GESHA COSTA RICA","Size: 12 oz., Grind Type: #0 - Whole Bean","1","12.0",""
"TART POM ETHIOPIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"HARIO V60 FILTERS",,"2","4.0",""
"HARIO V60",,"1","13.0",""
"Total Discount",,"1","0.0",""
"GREEN BIKE","Size: Five Pound - $14 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","80.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Medium & Dark","Grind Type: #0 - Whole Bean","1","32.0",""
"DARK DRAGON COSTA RICA","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"SL28 NATURAL COSTA RICA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"BLACK SHEEP","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"3 VOLCANOES DARK GUATEMALA","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"Total Discount",,"1","0.0",""
"GREEN DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Light","Grind Type: #0 - Whole Bean","1","32.0",""
"TART POM ETHIOPIA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","2","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","3","16.0",""
"GREEN BIKE","Size: One Pound - $18 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","16.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Medium & Dark","Grind Type: #0 - Whole Bean","1","32.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"BLOCK PARTY","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"GREEN BIKE","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Light","Grind Type: #0 - Whole Bean","1","32.0",""
"RING OF FIRE GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #20 - French Press or Clever","1","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #20 - French Press or Clever","1","16.0",""
"GREEN DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #20 - French Press or Clever","1","16.0",""
"Total Discount",,"1","0.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Medium & Dark","Grind Type: #0 - Whole Bean","1","32.0",""
"DOUBLE DRAGON BUNDLE","1LB BAG OF GREEN DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1, 1LB BAG OF DARK DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1","1","32.0",""
"SL28 NATURAL COSTA RICA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","16.0",""
"Total Discount",,"1","0.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","16.0",""
"Total Discount",,"1","0.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Medium & Dark","Grind Type: #0 - Whole Bean","1","32.0",""
"MONTH-TO-MONTH COFFEE SUBSCRIPTION - Medium & Dark","Grind Type: #0 - Whole Bean","1","32.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","2","16.0",""
"DARK DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","3","16.0",""
"SL28 NATURAL COSTA RICA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","2","16.0",""
"CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"BLACK SHEEP","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY - BULK","Bulk Size: 1 Pound - 8 Pack // $15 Per Pound, Grind Type: #0 - Whole Bean","1","128.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"GREEN DRAGON COSTA RICA","Size: Five Pound - $15 Per Pound, Grind Type: #14 - Cone Filter or v60","2","80.0",""
"GREEN BIKE","Size: 48g Tasting Sample, Grind Type: #14 - Cone Filter or v60","1","1.1",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"Total Discount",,"1","0.0",""
"DARK DRAGON COSTA RICA","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"Total Discount",,"1","0.0",""
"CAPRESSO DISK BURR GRINDER",,"1","48.0",""
"CHEMEX FILTERS",,"2","19.0",""
"6 CUP CLASSIC CHEMEX WITH WOOD COLLAR",,"1","32.0",""
"Total Discount",,"1","0.0",""
