Item - Name,Item - Options,Item - Qty,Item - Weight,Notes - From Buyer
"BONESHAKER COLOMBIA","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"DOUBLE DRAGON BUNDLE","1LB BAG OF GREEN DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1, 1LB BAG OF DARK DRAGON: Size - One Pound - $18 Per Pound, Grind Type - #0 - Whole Bean, Qty - 1","1","32.0",""
"VOYAGER","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"Total Discount",,"1","0.0",""
"GREEN BIKE","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #8 - Aeropress or Keurig","1","16.0",""
"STRAWBERRY FIELDS DECAF COLOMBIA","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","1","16.0","Thanks for spending time with us and letting us stay the night! We thought you might like two different decafs to try out. :)

-Jenna and Marc"
"DECAF CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","1","16.0","Thanks for spending time with us and letting us stay the night! We thought you might like two different decafs to try out. :)

-Jenna and Marc"
"ROLLER COASTER - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #14 - Cone Filter or v60","2","16.0",""
"CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #14 - Cone Filter or v60","1","80.0",""
"STRAWBERRY FIELDS DECAF COLOMBIA","Size: Five Pound - $15 Per Pound, Grind Type: #14 - Cone Filter or v60","1","80.0",""
